Table 2,,,,,,
Summary Output,,,,,,
Regression Statistics,,,,,,
Multiple R,0.481360254433,,,,,
R Square,0.231707694547,,,,,
Adjusted R Square,0.207698560002,,,,,
Standard Error,677784.561439510000,,,,,
Observations,100,,,,,
,,,,,,
ANOVA,,,,,,
,df,SS,MS,F,Significance F,
Regression,3,1.3301E+13,4.4335E+12,9.6508141,1.2537E-05,
Residual,96,4.4102E+13,4.5939E+11,,,
Total,99,5.7402E+13,,,,
,,,,,,
,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%
Intercept,-14161257.458683800000,5919543.476143070000,-2.392288783038,0.018690874017,-25911458.390202900000,-2411056.527164710000
Beds,131238.553766050000,65582.944132257600,2.001107993892,0.048204063429,1057.438560065320,261419.668972035000
Year Built,7654.221184384500,3055.391927911970,2.505151995219,0.013923912469,1589.316141926890,13719.126226842100
HOA (Y|N),-634440.363956003000,193192.764649854000,-3.283975800573,0.001429009423,-1017924.970885610000,-250955.757026393000
